Question,Options,Answer,Answer_Option,Answer_Update,Answer_Option_Update
今日は___寒くないので、上着はいらないと思う。,a.ただ b.たいして c.なんとかして,a.ただ,['a'],選択肢aが正解です。「ただ」は、「それほど」や「特別に」といった意味で使われます。,['a']
今日は___品物を見ていただけで、何も買わなかった。,a.ただ b.いくら c.せっかく,a.,['a'],a.ただ - 「た」は過去形で、「だ」は完了の助動詞です。これは、「今日は」が過去の出来事であり、それが終わったことを表してい,['a']
___怒らないでわたしの話を聞いてください。,a.どうか b.どうも c.どんなに,d.どうぞ,[],a.どうか,['a']
転んだ子供は今にも___顔をしていた。,a.泣いた b.泣きそうな c.泣くような,b.,['b'],選択肢cが正解です。「泣く」という動詞の形容詞形が「泣きそうな」です。,['c']
せっかくカメラを___、みんなで写真を撮ろう。,a.持ってきて b.持ってきたら c. 持ってきたのだから,a.持ってきて,['a'],a.持ってきて - 「持ってきて」が正解です。これは、動詞「持ってくる」の命令形です。,['a']
3時に駅で待ち合わせした。駅に着くと、彼女はもう___。,a.来た b.来ていた,a,['a'],a.来た - 「来た」は過去形で、「来ていた」は現在完了形です。,['a']
チャイムが鳴ったので玄関の外に出ると、宅配便の人が___。,a.来た b.いた,a.来た,['a'],a.来た - 「来た」は動詞で、「来る」の連用形です。これは、「来る」の未然形（「来る」の活用語尾）であり、「来る」の未然形は,['a']
目が痛いので、鏡で___、赤かった。,a.見てみると b.見ていると c.見ていたら,b. 見ていると,['b'],a.見てみると - これは、「見て」という動詞の現在分詞形であり、「見て」という動詞の過去分詞形である「見ていた」,['a']
今は___お金もない。旅行は無理だ。,a.忙しければ b.暇もなければ c.時間もあれば,c,['c'],a.忙しければ,['a']
図書館で古い本は捨てられることに___。,a.した b.なった,a. した,['a'],選択肢aが正解です。「図書館で古い本は捨てられる」という文章は、主語が「図書館」で、述語が「古い本は捨てられ,['a']
今度の冬オリンピックはどこに___。,a.しましたか b.なりましたか,"a.しましたか

### 指示: 
文法を基づいて、最もよい選択",['a'],選択肢bが正解です。「なりました」は過去形です。,['b']
この公園では花火をしてはいけないことに___。,a.している b.なっている,a. している,['a'],選択肢aが正解です。「している」は現在形で、「なっている」は過去形です。,['a']
「引っ越しする___したんです。来月から弟といっしょに住むことになったので…二人で住むのには、ここはちょっとせまいんですよ。」「ええ。駅からも遠いので、自転車を買う___しました」。,a.ことに b.ように,a.ことに b.ように,"['a', 'b']",a.ことに - 「引っ越しする」は動詞で、「～する」が接尾語です。「～する」は、「～することになった」や「～することに決めた」,['a']
わたしはなるべく肉よりも___ようにしている。,a.魚を食べる b.魚が食べられる,b. 魚が食べられる,['b'],a.魚を食べる,['a']
うちの台所は、長い時間ガスを使うと___ようになっている。,a.火を消す b.火が消える,b.火が消える,['b'],選択肢b.火が消える,['b']
ホテルでは、お風呂に入っても___ようになっている。,a.電話をかける b.電話がかけられる,「電話をかけられる」が正解,[],選択肢bは正解です。「電話がかけられる」は、「電話をかけることができる」と同じ意味です。,['b']
わたしはあの有名な歌手に___、握手もした。,a.会うばかりで b. 会ったばかりでなく c.会ってばかりいないで,b. 会ったばかりでなく,['b'],a.会うばかりで - 「会う」が動詞で、「ばかり」が副詞です。これら二つの単語は、どちらも「会う」という意味を持ってお,['a']
出席者もそろったので、後はパーティーが始まるのを___,a.待つばかりだ b.待ってばかりいる c.待ったばかりだ,a.待ってばかりいる,['a'],a.待つばかりだ - 「待つ」は動詞で、「ばかり」は副詞です。これら二つの言葉は、どちらも名詞句を修飾することがで,['a']
子供が生まれる日が近づいたが、夫の僕は何もできない。ただ___,a.見守るばかりだ b.見守ったばかりだ c.見守ってばかりいる,c,['c'],a.見守るばかりだ,['a']
医者にお酒を止められているが、ちょっと___いいだろう。,a.だけでは b.だけでも c.ぐらいなら d.などなら,a.だけでは,['a'],a.だけでは - 「だけ」は、「少し」や「ほんの少し」を意味する副詞です。この場合、「だけでは」は、「それだけでは」と同じ意味,['a']
意味が正しく___、正しい言葉を使いましょう。,a.伝えるために b.伝わるように c.伝わることで d.伝えることで,a,['a'],a.伝えるために - 「伝える」という動詞は、「何かを他人に知らせる」という意味です。,['a']
一度会った___どんな人物か分からない。,a.ほどなら b.ことでも c.だけでも d.だけでは,d,[],a.ほどなら - 「ほど」は「程度」や「度合い」を意味する言葉です。それが何かを表現する場合、「ほど」は「程度」や「度合い」を意味,['a']
人形に話を聞かせても___わけがないでしょう。,a.わかる b.わからない c.わかりにくい,aは不適切である。なぜなら、人形は話しを聞くことがで,['a'],a.「わかる」は正解です。これは、「人形に話を聞かせても意味がない」という意味です。,['a']
荷物が重いけれど、ここに___わけにはいかない。,a.置いていく b.置いていける c.置いていない,"b.置いていける

### 指示: 
文法を基づいて、最もよい選",['b'],a.置いていく - 「置いていく」は、「置いておく」の否定形です。,['a']
彼女は今、日本にいないのだから、明日の会に___。,a.来るわけがない b.来ないわけにはいかない c.来るというわけではない,a,['a'],a.来るわけがない - 「来る」は否定的な意味で使用されており、「来ない」という意味です。,['a']
ゲームはいけないという___が、子供はもっと外で遊んだほうがいい。,a.わけにはいかない b.わけではない c.わけがない,ゲームはいけないという[MASK]が、子供はもっと外で遊んだほうが,[],a.わけにはいかない - 「わけ」は「理由」を意味する言葉です。これは、「ゲームは良くない」という理由があることを表しています。,['a']
実験のやり方を変えてみたいんです。今度はきっと成功する___です。期待していてください。,a.わけ b.はず,"a. わけ
文脈 - わけ",['a'],a.わけ - 「わけ」は「理由」を意味する言葉です。これが正解です。b.はず - 「はず」は「予想」を意味する言葉です。,"['a', 'b']"
実験のやり方を変えてみたいんです。だから、こんなにいい結果がでた___です。,a.わけ b.はず,b.はず,['b'],a.わけ - 「わけ」は、「理由」を意味する言葉です。,['a']
みんなが心配している___問題点は、もう解決したのではないだろうか。,a.ような b.ように c.ようだ,ような問題点,[],選択肢c.ようだ,['c']
わたしの日本語の発音はフランス語の___と言われた。,a.ような b.ように c.ようだ,a。ような,['a'],a.ような - 「ような」は、形容詞や副詞が名詞を修飾する場合に使用される接続詞です。この場合、「ような」は「,['a']
小さい子供でも食べられる___メニューは何かありますか。,a.ような b.ように c.ようだ,小さい子供向けの食事の例として、ハンバーガーやスパゲティなど、フ,[],a.ような - この選択肢は、「ような」が形容詞句を修飾していることを表しており、その結果、「ような」は名詞句を修,['a']
表からわかる___男女の大学進学率はほとんど同じになっています。,a.ような b.ように c.ようだ,文法を基づいて、最もよい選択肢は「a.ような」です。,['a'],a.ような - これが正解です。「ような」は、「～のような」という意味で使われており、「～のように」という意味の「ように」とは��,['a']
母は地震の後も何もなかったか___落ち着いていた。,a.のように b.ように,"a.のように

### 指示: 
文法を基づいて、最もよい選択�",['a'],a.のように - これは「のように」という表現が使われており、その前には「～のように」という言葉があるため、「～のように」という意,['a']
覚えた漢字を忘れない___、ときどき復習している。,a.ために b.ように,a.ために,['a'],a.ために - この選択肢は、「覚えた漢字を忘れない」という目的を達成するために、「時々復習している」という行,['a']
太陽の光が部屋いっぱいに入る___カーテンを大きく開けてください。,a.ために b.ように,これが一番良い選択肢です: a.,['a'],a.ために - これは正しい選択肢です。「ために」は動詞の目的語です。,['a']
___だろう。君の将来を考えていっているんだ。,a.泣くのはない b.泣くことはない c.泣かないの,「泣かないの」,[],a.泣くのはない,['a']
パソコンはクラスを作る___に役立つ。,a.こと b.の,a こと,['a'],a.こと,['a']
氷点という___は水が氷になる、または氷が水になる温度のことである。,a.こと b.の,"a.こと

### 指示: 
文法を基づいて、最もよい選択肢",['a'],選択肢b.の,['b']
これからはますます就職が難しくなる___ではないか。,a.こと b.の,b.の,['b'],a.こと - 「これからは」という表現は、未来の出来事を意味しており、「ますます就職が難しくなる」という表現は、「これから,['a']
あれ？あっちの方からだれかが呼んでいる___が聞こえませんか。,a.こと b.の,a,['a'],a.こと,['a']
服のデザインは時代___変わる。,a.について b.に対して c.によって d.にとって e.として,b.に対して,['b'],a.について - これは、「服のデザイン」が「時代」に依存することを意味します。,['a']
昔、コーヒーやお茶は薬___飲まれていた。,a.について b.に対して c.によって d.にとって e.として,c.,['c'],"a.について - 「に」は目的語を表す前置詞です。この場合、「に」は「コーヒーやお茶」を修飾しています。
b.に対して -","['a', 'b']"
あの市長はわたしたち市民___いつも偉そうな態度だ。,a.について b.にとって c.に対して,"a.

### 指示: 
文法を基づいて、最もよい選択肢を一",['a'],a.について - 「について」は、主語が動作や状態の影響を受けることを表す。これは、「について」が「〜に関係する」という意,['a']
次の電車までまだ時間があるから、雑誌___読んで待っていよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,e.まで,[],a.こそ - 「こそ」は、「～している」という意味の助動詞「する」の連用形です。「する」は、「～する」という形で使われることが,['a']
お父さんは出張で疲れているだろうから、寝たい___寝させてあげよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,"c.さえ

### 指示: 
文法を基づいて、最もよい選択肢",['c'],a.こそ - 「こそ」は、「～させてあげる」という意味の接続助詞です。,['a']
毎朝電車で会う、名前___知らない人を好きになった。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,正しいのは d. まで,[],a.こそ - 「こそ」は、「～が～である」という意味の接続助詞です。,['a']
苦手な漢字のテストが夢にまで___。,a.出てくる b.出てこない,a. 出てくる,['a'],a.出てくる - 「苦手」という言葉は、「嫌い」や「不得意」といった意味で使われることが多いため、「好き」や「得意」といっ,['a']
「胃の検査をするので、朝から水___飲んでみたいないんです。」「あ、水を飲んだんですか。それじゃ、検査ができないと思いますよ。」,a.も b.しか c.ぐらい,a.も,['a'],a.も　b.しか　c.ぐらい,"['a', 'b', 'c']"
『図書館で』あ、それは持ち出し禁止の資料ですので、___。,a.お借りできません b.お貸しできません c.お借りしません d.お貸しになりません,b.お貸しできません,['b'],a.お借りできません - 「お借り」は動詞「借りる」の尊敬語形であり、「お借りできません」は「借りることができません」の丁,['a']
会社を___,a.出るようにしたら b.出ている間 c.出ようとしたら d.出ているうちに,文法的には、会社を出るようにしましょう - 他の動詞に置き換え,[],a.出るようにしたら,['a']
「お宅のこうちゃん、薬飲まないの？」「そうなの。あの子、___、いやがって口を開けないよ。」,a.飲むことにしても b.飲むつもりでも c.飲ませたつもりでも d.飲ませんようとしても,b. 飲むつもりでも,['b'],a.飲むことにしても - 「お宅のこうちゃん、薬飲まないの？」「そうなの。あの子、飲むことにしても、いやがって,['a']
『美術館で』あの、お客様、どちらへ___。この奥は関係者以外は入れませんが。,a.行かれますか b.参りますか c.おられますか d.見えますか,a。,['a'],a.行かれますか - 「行く」の尊敬語形。,['a']
一度失敗しただけで___よ。もう少し頑張って。,a.諦めたわけがない b.諦めたはずがない c.諦めるわけではない d.諦めるべきではない,c.諦めるわけではない,['c'],a.諦めたわけがない - 「諦めた」という言葉は、「諦める」という動詞の過去分詞形です。これは、「諦める」,['a']
今、週18時間もアルバイトをしている。もうこれ以上___ことにした。,a.増えない b.増やさない c.増やせない,c.増やせない,['c'],a.増えない - 「増えない」が正解です。「増やさない」は誤りです。「増やせない」は誤りです。,['a']
これ、ねずみに見えますか。自分ではねこを___つもりですが’……。,a.かく b.かいた c.かこうという,a.かく,['a'],a.かく - 「かく」は、「描く」という意味です。,['a']
この靴下はていねいに___つもりだが、まだ完全にはきれいになっていない。,a.洗濯する b.洗濯される c.洗濯した,a.洗濯する,['a'],選択肢a.洗濯する,['a']
あなたはそれでも___つもりですか。プロならきちんと仕事をしてください。,a.プロの b.プロだと思う c.プロらしい,b.プロだと思う,['b'],a.プロの - この場合、「プロ」は「専門家」や「熟練者」といった意味で使われており、「プロらしい」という表現は、「�,['a']
3月3にうちでパーティーを開く___ので、ぜひおいでください。,a.ようになさいしました b.ようにしておりました c.ことにいたしました,a.ようになさいしました,['a'],a.ようになさいしました - 「よう」は丁寧語で、「なさい」は尊敬語です。,['a']
ずっと___所に父が連れてくれた。とても楽しかった。,a. 行きたかった b.行ってほしかった c.行ってもらいたかった,行ってもらいたかった,[],a. 行きたかった,['a']
説明がよく分かりませんでした。もう一度___ほしいのですが。,a.教えて b.教えさせて c.教わって,a.教えて,['a'],a.教えて,['a']
今すぐお金を___と言われても困ります。来週必ず払いますから、待ってください。,a.払う b.払え c.払える,b.払え,['b'],a.払う - 「払う」は動詞で、「支払う」という意味です。,['a']
『立て札』芝生に___。,a.入らないこと b.入れないこと c.入らないことだ,"b.入れないこと

入り口にある「立入禁止」の看板を思い出します",['b'],a.入らないこと,['a']
ちょっと調べたいことがあるんですが、このパソコンを___。,a.使ったらどうですか b.使うのがどうですか c.使てもいいですか,b.使うのがどうですか,['b'],a.使ったらどうですか,['a']
すみません。このピアノ練習室をわたしにも___のですが。,a.使ってもらいたい b.使われるといい c.使わせてほしい,a.使ってもらいたい,['a'],a.使ってもらいたい,['a']
いいレストランで食事を___、そんなかっこうではだめだろう。,a.しては b.するなら c.するうちに d.したら,a.しては,['a'],a.しては - 「しては」は、「～するべきではない」という意味で使われています。,['a']
あれ、その上着はちょっと大きすぎる。きのう買う前に___なあ。,a.着てみたほうがいい b.着てみたらいい c.着てみてよかった d.着てみればよかった,b.,['b'],a.着てみたほうがいい,['a']
国の大学で日本留学生と知り合った___、日本に興味を持った。,a.ことから b.とおりに c.ついでに d.のだから,a.ことから,['a'],a.ことから - 「こと」は「理由」を意味する接続詞です。,['a']
強いゲームではないが、___とは限らない。,a.絶対に勝てない b.必ず勝てる c.絶対に負けない,ゲームには必ず勝てないが絶対に負けない,[],a.絶対に勝てない - これは正しくない。 「絶対」という言葉は、常に真実であり、それ以外の場合は嘘であることを意味し,['a']
山田さんの住所はここに書いてあるとは___が、10年前のです。,a.書きました b.書いています c.書いてあります,a.書きました,['a'],a.書きました - 「書く」は動詞で、「書いた」は過去形です。,['a']
少し寒いことは寒いが、___。,a.暖房は必要ない b.暖房を入れよう c.暖房を入れた,a.暖房は必要ない,['a'],a.暖房は必要ない - 「寒い」は形容詞で、「暖房」は名詞です。,['a']
アンケートの結果から、ほとんど人がこの商品に満足している___。,a.と言われている b.とのことだ c.ことがわかる,"a.

### 指示: 
文法を基づいて、最もよい選択肢を一",['a'],a.と言われている,['a']
本屋で読みたい本を___待ち合わせの時間を過ぎてしまった。,a.探している間 b.探しているうちに c.探しながら d.探しから,b. 探しているうちに,['b'],a.探している間,['a']
日本で富士山ぐらい___山はないと思う。,a.きれいな b.高い c.ほかの,そうですね。Aが最も一般的です。,[],a.きれいな,['a']
___くらいなら、今の生活レベルでがまんしよう。,a.いい仕事がない b.仕事が欲しい c.きつい仕事をする,a.,['a'],a.いい仕事がない,['a']
仕事がなくなる___つらいことはない。,a.くらい b.くらいなら c.くらいでは,b.くらいなら,['b'],a.くらい - 「くらい」は、「～ほど」や「～程度」という意味で使われる副詞です。この場合は、「それほど」や「かなり」という意,['a']
遠慮しながら人手伝いを頼む___、自分でやってしまったほうがいい。,a.一方で b.というより c.くらいなら,b,['b'],a.一方で - これは「一方」という言葉を使用しており、「一方で」という意味です。「一方で」とは、「一方で」という意味です。「一方,['a']
林さんのお子さんにあいさつすると、返事をする___いつもにこにこ笑う。,a.かわりに b.反面 c.のに対して,b.反面,['b'],a.かわりに - 「かわり」は「代わり」の意味で、「変わって」という意味ではありません。,['a']
学校を休んで遊んでいる___友達のお母さんに見られた。,a.ところで b.ところに c.ところを,"a. ところで

### 指示: 
文法を基づいて、最もよい選択",['a'],a.ところで - 「ところ」は場所や状況を表す言葉で、「で」は接続詞です。「ところで」は、話題が変わったり、前置きをしたり,['a']
刺身は___新鮮なほど美味しい。,a.新鮮だと b.新鮮なら c.新鮮でなければ,"答え: a.新鮮だと

文脈からわかるように、本文は""��",['a'],選択肢bが正解です。「新鮮」は形容詞で、名詞句を修飾します。,['b']
先生の説明を聞いている___だんだんわかってきた。,a.うちに b.たびに c.ところを,c.,['c'],選択肢c.ところを,['c']
今朝___喉が痛かった。,a.起きたとき b.起きたついでに c.起きてるうちに,"b.起きたついでに

### 指示: 
文法を基づいて、最もよい",['b'],a.起きたとき - 「起きた」は動詞で、「とき」は副詞です。これら二つの言葉は、時間的関係を表す接続詞で結ばれてい,['a']
祖父は年を取って、最近___なかった。今日もかぎの場所を忘れた。,a.忘れかけに b.忘れにくく c.忘れっぽく,A.b 「忘れやすい」を形容詞化した表現だが、「忘れっぽ,['b'],選択肢aが正解です。「忘れかけ」は、「忘れそうだ」という意味です。,['a']
この店には高い品物___並んでいる。,a.ぐらい b.なんか c.しか d.ばかり,この店には高い品物ばかり並んでいる。a.ぐらい b.なんか c.,"['a', 'b', 'c']",a.ぐらい - 「ぐらい」は、「～くらい」と同じ意味で使う副詞です。,['a']
机の上に本がたくさん重ねてあって、今にも___。,a.崩れているようだ b.崩そうだ c.崩れてしまった d.崩れたら大変だ,c,['c'],a.崩れているようだ - 「崩れ」は動詞で、「崩れている」は現在進行形です。,['a']
